Address,Beds,Baths,Type,Area_in_sqft,Furnishing,Age_of_listing_in_days,Location,Latitude,Longitude,Distance_to_center,Geo_cluster,Location_score,Rent_per_sqft
1512,2,2,1,1234,1,12,20,25.2208602,55.2737617,1.8039480495430007,11,0.3497110696316436,89.14100486223663
1512,1,2,1,796,1,12,20,25.2208602,55.2737617,1.8039480495430007,11,0.3497110696316436,95.47738693467336
2900,4,2,5,8110,1,12,59,24.94481735,54.998448956903374,39.80445239926115,6,0.02616641365758918,27.127003699136868
271,3,2,1,1650,1,12,16,25.2913041,55.3744578,14.173435968993358,22,0.07336872984612597,47.27272727272727
2364,5,2,5,9252,1,12,26,25.04875135,55.26728851815184,17.28988131878473,5,0.09169033944292032,72.95719844357977
1562,1,2,1,814,0,12,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,282.55528255528253
2953,0,2,1,443,1,12,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,191.8735891647856
1155,2,2,1,1234,1,12,20,25.2208602,55.2737617,1.8039480495430007,11,0.3497110696316436,89.14100486223663
2623,2,2,1,1250,0,12,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,0.232
598,1,2,1,1142,1,12,91,25.10019025,55.11853499506269,19.234696642318987,26,0.4630645922036742,140.10507880910683
12,2,2,1,1271,0,12,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,157.35641227380015
815,0,1,1,793,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,66.58259773013872
1027,2,3,1,1584,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,62.121212121212125
1027,1,2,1,591,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,115.73604060913704
1027,0,1,1,634,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,85.17350157728707
980,0,1,1,561,0,12,36,25.22633235,55.33809781043797,7.189059463855745,24,0.1823062608156264,140.8199643493761
2767,2,2,5,1686,1,12,104,25.05995825,55.18239787686163,18.35501894409587,29,0.18838267415220272,97.86476868327402
560,0,2,1,295,1,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,152.54237288135593
1091,2,2,1,1700,1,12,49,24.985928,55.175013,26.09976321163162,16,0.08313705862114892,47.05882352941177
815,2,2,1,1663,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,48.34636199639206
1027,2,3,1,1532,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,51.697127937336816
1027,2,3,1,1216,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,74.01315789473684
979,4,4,5,4803,1,12,78,25.0850789,55.2981217,13.545219101741333,27,0.09944495010353697,45.80470539246304
815,1,1,1,891,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,78.11447811447812
